name,Long,Lat
Tanjona Bo,49.2447776,-11.9523816
Tanjona Bo,49.2458538,-11.9519593
Tanjona Bo,49.2577485,-11.9497082
Tanjona Bo,49.2645776,-11.9496854
Tanjona Bo,49.2658523,-11.9497012
Tanjona Bo,49.2664507,-11.9500186
Tanjona Bo,49.2724563,-11.9542601
Ambatonjan,49.2939326,-11.9700104
Ambatonjan,49.2952562,-11.9711834
Nosy Manam,49.8698743,-12.8014209
Nosy Manam,49.8718449,-12.8060715
Iharana Vo,50.0234031,-13.3659044
Mahavonona,50.1401489,-13.7968969
Lohatanjon,50.2023424,-14.3019170
Récif Tanj,50.5111027,-15.2919913
Lohatanjon,50.5103689,-15.3430786
Lohatanjon,50.4976451,-15.4087485
Tanjona Ta,50.3660415,-15.7795567
Tanjona Ta,50.3463254,-15.8265657
Lohatanjon,50.0210843,-16.7156763
Ank-Horrak,49.9731013,-16.9223600
Ilots au S,49.8679942,-17.0981415
Nosy Tanio,49.4402875,-18.1350286
Lohatanjon,49.4324820,-18.1613824
Nosy Faho,49.4133991,-18.3045011
Nosy Domba,49.3881256,-18.4206353
Mahanoro,48.8235386,-19.9118938
Ambodihari,48.7939747,-20.0101759
Manambondr,47.5948539,-23.7958513
Tanjona Ma,47.2084701,-24.7808740
Récif Itap,47.1034220,-25.0023114
Tanjona Ra,46.9604401,-25.0760321
Helondrano,46.7206949,-25.1819036
Betanty (F,45.5417361,-25.5703167
Betanty (F,45.4862806,-25.5863889
Betanty (F,45.4796639,-25.5880139
Tanjona Vo,45.1671031,-25.6076866
Récif de l,44.2573383,-25.4244640
Récif de l,44.2488501,-25.4165218
Nosimboron,44.0250021,-25.0641094
Nosimboron,44.0229624,-25.0600401
Miary,43.6753008,-24.3637477
Falaise de,43.6662963,-24.3369360
Ankilibory,43.6622779,-24.3100999
Ankilibory,43.6567587,-24.2414471
Nosy Ve,43.5971844,-23.6369966
Tsifota,43.3608011,-22.8532448
Lohatanjon,43.3442968,-22.8127915
Solary Avo,43.2542949,-22.6028340
Ambohitsob,43.2083048,-22.3380138
Nosy Hao,43.1750970,-22.1178409
Récif Pars,43.1865734,-22.0073880
Nosy Andra,43.1964759,-21.9494730
Récif Morr,43.2152268,-21.8064256
Nosy Andri,43.7431560,-20.8343325
Tanjona An,43.8398759,-20.6661989
Tanjona An,44.1137260,-20.4782042
Ilot Indie,44.3662111,-19.7994299
Sud Amboan,44.2648563,-19.1632252
IB1 ou Bc,43.9779893,-18.7190849
Nosy Andro,43.7753550,-18.5290919
Nosy Mavon,43.7279395,-18.3343773
Nosy Vao2,43.6883145,-17.4189695
Nosy Chert,43.9572937,-16.3256758
Tanjona Vi,44.4789187,-16.1655966
Tanjona Am,45.2461606,-15.9339732
Tanjona Ta,45.6690740,-15.7723140
Nosy Makam,45.9047482,-15.7053773
Lohatanjon,46.4613742,-15.5090712
Nosy Lava,47.5804452,-14.5007980
Nosy Iranj,47.8046177,-13.5958636
Nosy Iranj,47.8127443,-13.5846125
Nosy Fanih,48.2315816,-13.1841425
Nosy Ankar,48.5716411,-12.8376183
Nosy Mavon,48.6371237,-12.4306246
Nosy Anamb,48.6325085,-12.2634945
Nosy Anamb,48.6345137,-12.2591853
