      Id point	Lat 	  Long	Correction
   Sambava	-14.164459	50.103392	-2.505
   Farafagana	-22.48208	47.493731	-2.148
   Manakara 	-22.082252	48.011375	-1.902
   Manakara	-22.07133	48.011375	-1.849
   Orangea  	-12.152411	49.211388	-1.754
   Morondava	-20.1739	44.165152	-1.559
   Vohemar  	-13.222017	50.000067	-1.415
Morombe	-21.450327	43.22283	1.375
   Manajary	-21.122778	48.2125	-1.361
   Antanimalandy 	-15.424663	46.21046	-1.74
   Tsadro   	-23.271214	43.471655	-1.258
   Maintirano	-18.034438	44.011714	-1.244
   Fianarantsoa	-21.262873	47.063933	-0.973
   Maroantsetra	-15.261112	49.412363	-0.904
   Tsiroamandidy	-18.454881	46.030487	-0.824
   Ambovombe	-25.102293	46.062755	-0.815
   Lakaria  	-17.23326	49.255047	-0.628
   Antsohihy	-14.541033	47.594192	-0.625
    Antsirabe	-19.501167	47.040174	-0.447
   Analamare	-25.113569	45.57269	-0.402
   Ambohibe 	-18.52479	47.34352	-0.36
   Mananara	-16.09488	49.461021	-0.253
   Resamp   	-25.010365	46.495571	-0.138
   Vohimena 	-24.500068	45.305053	1.089
   Antaritarika  	-25.233951	45.45247	1.512
   Ambatondrazaka  	-17.474916	48.264655	0.938
